supp_region|cust_region|year|revenue
AFRICA|AFRICA|1996|25750064.4296
AFRICA|AFRICA|1997|25795004.8915
AFRICA|AMERICA|1996|25936993.2563
AFRICA|AMERICA|1997|27568482.8292
AFRICA|ASIA|1996|25430889.6361
AFRICA|ASIA|1997|23709221.316
AFRICA|EUROPE|1996|24314324.3855
AFRICA|EUROPE|1997|24975427.3318
AFRICA|MIDDLE EAST|1996|25292355.4279
AFRICA|MIDDLE EAST|1997|25655558.9158
AMERICA|AFRICA|1996|20418865.2166
AMERICA|AFRICA|1997|20292234.5838
AMERICA|AMERICA|1996|19509322.177
AMERICA|AMERICA|1997|21302542.9952
AMERICA|ASIA|1996|20350976.0224
AMERICA|ASIA|1997|19723728.926
AMERICA|EUROPE|1996|17881211.3119
AMERICA|EUROPE|1997|19120154.1601
AMERICA|MIDDLE EAST|1996|20074105.7491
AMERICA|MIDDLE EAST|1997|20606627.475
ASIA|AFRICA|1996|30733016.3809
ASIA|AFRICA|1997|32169380.6718
ASIA|AMERICA|1996|29827462.1513
ASIA|AMERICA|1997|32475667.6177
ASIA|ASIA|1996|30606537.9637
ASIA|ASIA|1997|29223965.1531
ASIA|EUROPE|1996|27664678.9494
ASIA|EUROPE|1997|29925987.1127
ASIA|MIDDLE EAST|1996|31192888.9149
ASIA|MIDDLE EAST|1997|32599798.9706
EUROPE|AFRICA|1996|32489764.3948
EUROPE|AFRICA|1997|29981382.049
EUROPE|AMERICA|1996|28963663.4865
EUROPE|AMERICA|1997|29423998.5544
EUROPE|ASIA|1996|32058640.9609
EUROPE|ASIA|1997|26972913.3274
EUROPE|EUROPE|1996|26640271.3138
EUROPE|EUROPE|1997|26865074.6709
EUROPE|MIDDLE EAST|1996|28563897.1097
EUROPE|MIDDLE EAST|1997|30412585.7924
MIDDLE EAST|AFRICA|1996|19250558.4941
MIDDLE EAST|AFRICA|1997|21042949.3743
MIDDLE EAST|AMERICA|1996|18947125.6749
MIDDLE EAST|AMERICA|1997|20685107.844
MIDDLE EAST|ASIA|1996|18872032.4546
MIDDLE EAST|ASIA|1997|17671513.9864
MIDDLE EAST|EUROPE|1996|18701134.4589
MIDDLE EAST|EUROPE|1997|18191461.7367
MIDDLE EAST|MIDDLE EAST|1996|18718959.2913
MIDDLE EAST|MIDDLE EAST|1997|20714457.3128
