supplier|part_size|max_cost
Supplier#000000011|50|46.68
Supplier#000000012|38|12.63
Supplier#000000015|15|173.62
Supplier#000000026|45|28.42
Supplier#000000027|30|8.48
Supplier#000000039|34|11.06
Supplier#000000041|39|60.37
Supplier#000000043|1|37.33
Supplier#000000045|11|163.2
Supplier#000000045|14|62.73
Supplier#000000045|49|34.49
Supplier#000000045|7|59.4
Supplier#000000050|23|46.52
Supplier#000000050|47|100.7
Supplier#000000060|31|149.16
Supplier#000000061|36|43.07
Supplier#000000061|9|1.47
Supplier#000000072|21|74.01
Supplier#000000089|29|3.38
Supplier#000000096|5|21.89
Supplier#000000098|33|38.24
Supplier#000000099|17|67.23
Supplier#000000099|2|52.49
Supplier#000000100|25|63.24
Supplier#000000102|24|11.13
Supplier#000000119|10|5.16
Supplier#000000119|6|13.09
Supplier#000000124|3|53.95
Supplier#000000124|40|119.48
Supplier#000000136|27|84.73
Supplier#000000137|41|109.48
Supplier#000000137|42|32.01
Supplier#000000137|48|8.92
Supplier#000000143|26|165.81
Supplier#000000153|13|274.02
Supplier#000000153|18|143.11
Supplier#000000162|8|31.43
Supplier#000000168|19|72.22
Supplier#000000168|28|152.77
Supplier#000000173|12|29.53
Supplier#000000175|20|62.15
Supplier#000000175|43|142.17
Supplier#000000177|22|118.07
Supplier#000000187|16|26.31
Supplier#000000187|35|48.45
Supplier#000000187|4|60.71
Supplier#000000189|44|169.33
Supplier#000000191|46|75.46
Supplier#000000194|37|131.86
Supplier#000000196|32|55.22
